,senador,partido,id_diputado,distrito
0,Sr. Florcita Alarcón,Partido: PH,1008,Distrito: N°17
1,Sr. Jorge Alessandri,Partido: UDI,1009,Distrito: N°10
2,Sr. René Alinco,Partido: IND,803,Distrito: N°27
3,Sr. Sebastián Álvarez,Partido: EVOP,1010,Distrito: N°23
4,Sra. Jenny Álvarez,Partido: PS,968,Distrito: N°26
5,Sr. Pedro Pablo Alvarez-Salamanca,Partido: UDI,923,Distrito: N°17
6,Sra. Sandra Amar,Partido: UDI,1011,Distrito: N°28
7,Sr. Gabriel Ascencio,Partido: DC,810,Distrito: N°26
8,Sr. Pepe Auth,Partido: IND,925,Distrito: N°8
9,Sr. Nino Baltolu,Partido: UDI,926,Distrito: N°1
10,Sr. Boris Barrera,Partido: PC,1012,Distrito: N°9
11,Sr. Ramón Barros,Partido: UDI,811,Distrito: N°16
12,Sr. Jaime Bellolio,Partido: UDI,970,Distrito: N°14
13,Sr. Bernardo Berger,Partido: RN,971,Distrito: N°24
14,Sr. Alejandro Bernales,Partido: LIBERAL,1013,Distrito: N°26
15,Sr. Karim Bianchi,Partido: IND,1014,Distrito: N°28
16,Sr. Sergio Bobadilla,Partido: UDI,815,Distrito: N°20
17,Sr. Gabriel Boric,Partido: PCS,972,Distrito: N°28
18,Sr. Jorge Brito,Partido: RD,1015,Distrito: N°7
19,Sr. Miguel Ángel Calisto,Partido: DC,1016,Distrito: N°27
20,Sra. Karol Cariola,Partido: PC,973,Distrito: N°9
21,Sr. Álvaro Carter,Partido: UDI,1017,Distrito: N°12
22,Sra. Loreto Carvajal,Partido: PPD,974,Distrito: N°19
23,Sra. Natalia Castillo,Partido: RD,1018,Distrito: N°10
24,Sr. José Miguel Castro,Partido: RN,1019,Distrito: N°3
25,Sr. Juan Luis Castro,Partido: PS,931,Distrito: N°15
26,Sr. Ricardo Celis,Partido: PPD,1020,Distrito: N°23
27,Sr. Andrés Celis,Partido: RN,1021,Distrito: N°7
28,Sra. Daniella Cicardini,Partido: PS,975,Distrito: N°4
