,senador,partido
0,Sr. Florcita Alarcón,Partido: PH
1,Sr. Jorge Alessandri,Partido: UDI
2,Sr. René Alinco,Partido: IND
3,Sr. Sebastián Álvarez,Partido: EVOP
4,Sra. Jenny Álvarez,Partido: PS
5,Sr. Pedro Pablo Alvarez-Salamanca,Partido: UDI
6,Sra. Sandra Amar,Partido: UDI
7,Sr. Gabriel Ascencio,Partido: DC
8,Sr. Pepe Auth,Partido: IND
9,Sr. Nino Baltolu,Partido: UDI
10,Sr. Boris Barrera,Partido: PC
11,Sr. Ramón Barros,Partido: UDI
12,Sr. Jaime Bellolio,Partido: UDI
13,Sr. Bernardo Berger,Partido: RN
14,Sr. Alejandro Bernales,Partido: LIBERAL
15,Sr. Karim Bianchi,Partido: IND
16,Sr. Sergio Bobadilla,Partido: UDI
17,Sr. Gabriel Boric,Partido: PCS
18,Sr. Jorge Brito,Partido: RD
19,Sr. Miguel Ángel Calisto,Partido: DC
20,Sra. Karol Cariola,Partido: PC
21,Sr. Álvaro Carter,Partido: UDI
22,Sra. Loreto Carvajal,Partido: PPD
23,Sra. Natalia Castillo,Partido: RD
24,Sr. José Miguel Castro,Partido: RN
25,Sr. Juan Luis Castro,Partido: PS
26,Sr. Ricardo Celis,Partido: PPD
27,Sr. Andrés Celis,Partido: RN
28,Sra. Daniella Cicardini,Partido: PS
29,Sra. Sofía Cid,Partido: RN
30,Sr. Juan Antonio Coloma,Partido: UDI
31,Sr. Miguel Crispi,Partido: RD
32,Sr. Luciano Cruz-Coke,Partido: EVOP
33,Sra. Catalina Del Real,Partido: RN
34,Sr. Mario Desbordes,Partido: RN
35,Sr. Marcelo Díaz,Partido: IND
36,Sr. Jorge Durán,Partido: RN
37,Sr. Eduardo Durán,Partido: RN
38,Sr. Francisco Eguiguren,Partido: RN
39,Sr. Fidel Espinoza,Partido: PS
40,Sra. Maya Fernández,Partido: PS
41,Sr. Iván Flores,Partido: DC
42,Sra. Camila Flores,Partido: RN
43,Sr. Juan Fuenzalida,Partido: UDI
44,Sr. Gonzalo Fuenzalida,Partido: RN
45,Sr. Sergio Gahona,Partido: UDI
46,Sr. Ramón Galleguillos,Partido: RN
47,Sr. René Manuel García,Partido: RN
48,Sr. Renato Garín,Partido: IND
49,Sra. Cristina Girardi,Partido: PPD
50,Sr. Félix González,Partido: PEV
51,Sr. Rodrigo González,Partido: PPD
52,Sr. Hugo Gutiérrez,Partido: PC
53,Sr. Javier Hernández,Partido: UDI
54,Sra. Marcela Hernando,Partido: PR
55,Sra. Carmen Hertz,Partido: PC
56,Sr. Tomás Hirsch,Partido: IND
57,Sra. María José Hoffmann,Partido: UDI
58,Sr. Diego Ibáñez,Partido: PCS
59,Sr. Marcos Ilabaca,Partido: PS
60,Sr. Giorgio Jackson,Partido: RD
61,Sr. Carlos Abel Jarpa,Partido: IND
62,Sra. Pamela Jiles,Partido: PH
63,Sr. Tucapel Jiménez,Partido: PPD
64,Sr. Harry Jürgensen,Partido: RN
65,Sr. Pablo Kast,Partido: EVOP
66,Sr. Sebastián Keitel,Partido: EVOP
67,Sr. Issa Kort,Partido: UDI
